date,series,tenor_years,rate_percent,source
2010-03-01,DGS1MO,0.08,0.09,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS3MO,0.25,0.13,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS6MO,0.5,0.19,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS1,1.0,0.32,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS2,2.0,0.80,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS3,3.0,1.34,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS5,5.0,2.28,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS7,7.0,3.04,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS10,10.0,3.61,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS20,20.0,4.41,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2010-03-01,DGS30,30.0,4.56,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS1MO,0.08,0.03,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS3MO,0.25,0.07,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS6MO,0.5,0.12,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS1,1.0,0.17,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS2,2.0,0.25,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS3,3.0,0.34,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS5,5.0,0.62,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS7,7.0,0.93,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS10,10.0,1.47,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS20,20.0,2.13,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-06-01,DGS30,30.0,2.53,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS1MO,0.08,0.04,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS3MO,0.25,0.07,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS6MO,0.5,0.10,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS1,1.0,0.14,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS2,2.0,0.25,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS3,3.0,0.32,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS5,5.0,0.66,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS7,7.0,1.11,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS10,10.0,1.72,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS20,20.0,2.48,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
2012-12-12,DGS30,30.0,2.90,treasury.gov daily par yield curve (= H.15 CMT / FRED DGS)
